0ad a24.b-2
numix-circle-icon-theme-git 20.09.19.r0.g8b749c0-1
nvidia 460.56-4
nvidia-settings 460.56-1
obconf 2.0.4-7
obs-studio 26.1.2-1
ocs-url 3.1.0-7
openbox 3.6.1-7
opencl-headers 2:2020.12.18-1
opencl-nvidia 460.56-1
openconnect 1:8.10-1
oracle-sqldeveloper 20.2.0.175.1842-1
oracle-xe 18.4.0_1.0-1
orca 3.38.2-1
oxygen-cursors-extra 5.18.4.1-1
pacaur 4.8.6-1
pacman 5.2.2-2
papirus-icon-theme 20210302-1
patch 2.7.6-8
pavucontrol 1:4.0-2
php-fpm 8.0.3-1
php-intl 8.0.3-1
pidgin 2.14.1-3
piper 0.5.1-2
pipewire-pulse 1:0.3.23-1
pkgconf 1.7.3-1
polari 3.38.0-1
pop-gtk-theme-bin 5.3.1-1
pragha 1.3.4-2
preload 0.6.4-7
pyinstaller-git r7451.4249a734-1
pyls-mypy 0.1.8-2
pypi-cli 0.4.1-3
python-beautifulsoup4 4.9.3-3
python-mutagen 1.45.1-3
python-opengl-accelerate 3.1.5-1
python-pygame 2.0.1-1
python-pyglet 1.5.14-1
python-pyqt5 5.15.3-2
qogir-gtk-theme-git 2020.02.26.r59.gebed08a-1
qogir-icon-theme-git 2020.06.22.r15.g607a90bd-1
rawtherapee 1:5.8-1
reflector 2021-1
rsync 3.2.3-3
rygel 1:0.40.1-1
seahorse 1:3.38.1-1
sed 4.8-1
simple-scan 3.38.2-1
slack-desktop 4.13.0-1
steam-native-runtime 1.0.0.62-2
stow 2.3.1-3
sudo 1.9.5.p2-1
sushi 3.38.0-1
sysbench 1.0.20-1
sysstat 12.5.3-1
teams 1.3.00.30857-1
tela-circle-icon-theme-git 2020.11.29.r13.g28eafe7-1
tela-icon-theme 2021.01.21-1
telegram-desktop 2.6.1-1
telepathy-gabble 0.18.4-4
telepathy-haze 0.8.1-1
terminus-font-ll2-td1-otb 4.48-3
testdisk 7.1-2
texinfo 6.7-3
totem 3.38.0-1
traceroute 2.1.0-5
tracker 2.3.6-3
tracker-miners 2.3.5-3
ttf-clear-sans 1.00-3
ttf-fira-mono 2:3.206-4
ttf-fira-sans 1:4.301-2
ttf-inconsolata 1:3.000-2
ttf-indic-otf 0.2-11
ttf-jetbrains-mono 2.225-1
ttf-mac-fonts 20100901.134-1
ttf-monaco 6.1-6
ttf-ms-fonts 2.0-12
ttf-roboto 2.138-4
ttf-roboto-slab 3:2.000-3
ttf-symbola 13.00-8
ttf-tahoma 5.0.1-1
unigine-heaven 4.0-2
unigine-valley 1.0-1
unixodbc 2.3.9-1
vino 3.22.0+72+g3fe1f12-1
vkd3d 1.2-1
vmware-horizon-client 2012-1
wget 1.21.1-1
which 2.21-5
wine 6.3-1
woeusb 5.0.8-1
wxgtk2 3.0.5.1-2
x11vnc 1:0.9.16-4
xcursor-oxygen 5.16.1-1
xdg-user-dirs-gtk 0.10+9+g5b7efc6-3
xf86-video-dummy 0.3.8-4
xf86-video-vesa 2.5.0-1
xmacro 0.4.6-2
xorg-bdftopcf 1.1-2
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-mkfontscale 1.2.1-2
xorg-server-devel 1.20.10-3
xorg-server-xephyr 1.20.10-3
xorg-server-xnest 1.20.10-3
xorg-server-xvfb 1.20.10-3
xorg-sessreg 1.1.2-2
xorg-smproxy 1.0.6-3
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xinput 1.6.3-2
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xpr 1.0.5-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-2
xorg-xwd 1.0.7-2
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xterm 366-1
yay-git 10.1.2.r3.g24edabe-1
yelp 3.38.3-1
yelp-tools 3.38.0-1
youtube-dl 2021.03.03-1
zoom 5.5.4-1
zsh 5.8-1
